Gene,TE_t0,TE_t1,TE_t2,cluster
PSMF1,1.7483536795580399,1.27482732135733,1.80636737054402,2
VPS26A,1.75125575021388,1.54839581419646,1.8006006301531001,2
KRAS,1.9388967268470503,1.4643850040731001,1.80889330403723,2
PPT1,1.8877982469998797,1.5041487599803103,1.85495433460347,2
AKIRIN2,2.44019568203058,1.64484443326549,2.07598996717011,2
EIF5AL1,2.23165475559,1.65448947311656,2.05557979843456,2
CD163,2.26134025054203,1.68963957794683,2.10665571344047,2
SLC39A4,2.2394299292214703,1.6450355526429798,2.1300258474462197,2
TIMP3,2.12596970185921,1.5139197874690402,1.9647358113210702,2
UBLCP1,2.11675845560855,1.47421061232271,2.02698884271348,2
TP53,2.3378936365941496,1.6114997010950902,1.95683572097729,2
SMDT1,2.23855801020058,1.54618164092641,1.97763094964894,2
G6PD,2.2089261136756804,1.58323410549896,1.75215201546188,2
HSP90AA1,2.15178996159635,1.45045598210424,1.76158635335547,2
TUBG1,2.2676867085453396,1.3104947504965199,1.8593333428299699,2
PTGES3,2.35671760043976,1.52317175850373,1.8380218922704699,2
PITPNB,2.42538779390377,1.38819228018345,1.8277958521779498,2
MANSC1,2.79900054160514,1.6219996794292302,1.6337991000908703,2
MNT,2.39979325877351,1.51715108631021,1.52993972857491,2
HCFC1,2.01940826179593,-0.15802200658240698,1.4523680214788202,2
LRP1,2.40925624215977,-0.17471382176579003,1.14203374138453,2
HSPG2,2.3564124494517498,0.43941628048605397,0.729580781301405,2
MIDN,2.15569716879479,0.713011394362202,0.914759650618409,2
WIPF2,2.26546540317902,0.8418959590865591,0.888112132430588,2
RNF24,2.09076753323989,0.7292159529601279,1.6148817336506298,2
MGRN1,2.1541244867610603,0.7041290025585569,1.67524757376977,2
SLC7A1,2.0732669074620103,0.691346037170469,1.35166031556096,2
CLPTM1,2.03396454176646,0.679036998489202,1.50416017316527,2
SCAF4,2.09982317145754,0.6619706926253051,1.4659019504947501,2
C11orf49,2.10408156413293,1.0095446191725699,1.36132332816594,2
VPS53,2.03946744686433,0.875893903311194,1.36251530413946,2
WASF2,2.17919430080989,0.800837630913143,1.30135449052818,2
ATP1A1,2.33283594790879,0.9350652592567809,1.32671140752286,2
CNOT3,2.32299541922,0.830640206427048,1.4195055763628601,2
FASN,2.1425718337895603,0.439278567484231,1.6755394227652698,2
PTPN23,2.1292650519733702,0.316725734188833,1.5873827663699198,2
TMEM201,2.1878313572728603,0.32811155597827,1.31988549688423,2
MED15,2.11294821498588,0.45472930968850894,1.4100585643115802,2
POLR2A,2.0949627942056,0.38612942543414797,1.45736543454089,2
RPRD2,1.6120374289430002,0.38427000405192896,1.29846698659066,2
CCNK,1.7254903326410902,0.405783445352882,1.21069360080552,2
PLBD2,1.6177765726628799,0.503462410744391,1.2120770897964799,2
DIAPH1,1.8351116144830901,0.387194142040568,1.3251684895800901,2
MDC1,1.8698552349105801,0.331779295448158,1.17231115093643,2
ZC3H4,1.8572800713672701,0.38565261048125,1.1026145049686698,2
ZFAND3,1.75708515880719,0.3892219331403621,1.1181117784168502,2
PPP2R5E,1.9396324047962201,0.527789786267248,1.28339384587166,2
MAP1S,1.89933852578186,0.497215236770925,1.2878113399955,2
MKL2,2.03309203759471,0.49906364024087707,1.3296588135492,2
BRD3,2.14612557958951,0.517892908991489,1.3103420864830801,2
ARHGAP17,1.8301195788664901,0.540452795718678,1.4394234215404902,2
MOB3A,1.84659292913279,0.5289401068167829,1.48925934302812,2
CSNK2A2,1.7890435641536102,0.6567235542245861,1.48905904771169,2
CLSTN1,1.7791292787441901,0.645530386083798,1.3404590159216798,2
C15orf39,1.8179631968427301,-0.18991664081061,1.72849359671105,2
NOTCH1,1.7627963941832803,-0.16200259304724,2.00869435816372,2
FMNL1,1.5714785712083101,-0.218038998446008,2.0450530014184403,2
PHACTR4,1.74705381930087,0.269858433013292,2.17824944618642,2
SPI1,1.5800258546237902,0.21734891871457399,2.07338111566609,2
MKL1,1.5756217008745301,0.203676854347416,1.97693415752298,2
RFX1,2.15990178368066,0.32838037977740997,2.09743239152896,2
CMIP,2.1383704909275503,0.38967169303244004,1.9671144125082902,2
STXBP1,2.14416480146767,0.485775287590627,1.87879480310178,2
TGFB1,2.2282171563962,0.40995025335999297,1.88502597526588,2
